first-stage tube temperature (Tt) ,high-temperature fan speed (Sf),temperature (Tf) in the pre-calciner,kiln tail air pressure (Pk),kiln motor current (Ik),kiln tail temperature (Tk),secondary air temperature feedback (Ta),second chamber grate pressure (Pg),EP fan speed (Sa)
0.580151748,0.438290238,0.466267507,0.404844802,0.515403873,0.280729727,0.451368648,0.70997387,0.482349352
0.579278939,0.438335209,0.464342378,0.404455487,0.525151676,0.280526899,0.466734508,0.709495666,0.48031164
0.568022943,0.438297693,0.486765559,0.40349071,0.532162861,0.281287568,0.476759996,0.710305165,0.486340949
0.539495917,0.438327995,0.522392665,0.402952478,0.520067135,0.279512847,0.475776906,0.708870553,0.499225255
0.539743625,0.438222662,0.553460376,0.403215744,0.511339738,0.279589026,0.464163007,0.709422211,0.51181672
0.539824417,0.438516294,0.555231276,0.403015236,0.494661755,0.285559677,0.462967109,0.707987974,0.513626661
0.562994502,0.438259937,0.527018614,0.395924603,0.476170304,0.29234138,0.461328625,0.709459126,0.513529865
0.571378044,0.438282783,0.500827731,0.379237259,0.450926688,0.29828658,0.463818758,0.70920166,0.51148646
0.58497499,0.438229636,0.458063938,0.360821931,0.450311392,0.305740393,0.461361172,0.708208525,0.508097602
0.575219001,0.438417936,0.412261407,0.350310436,0.475959789,0.314981306,0.456758258,0.711445584,0.505678374
0.573756186,0.438395811,0.381879775,0.354858822,0.508052662,0.312458728,0.457511153,0.709458938,0.500132242
0.5483504,0.438350119,0.352144535,0.363978996,0.515177272,0.305423382,0.454432112,0.709164933,0.498001003
0.530627589,0.438448478,0.363920605,0.363854011,0.531077865,0.293317342,0.446945855,0.708429076,0.499441644
0.520763151,0.438199576,0.356141355,0.369792124,0.533603885,0.283480497,0.442342523,0.70997387,0.500728538
0.52089606,0.438358296,0.360866515,0.380816855,0.559883746,0.275266275,0.454825459,0.708245439,0.500303916
0.53016305,0.438282543,0.370290587,0.39483431,0.561664877,0.263249053,0.455595045,0.709606222,0.503868474
0.53391367,0.438372965,0.40049173,0.410244149,0.572610853,0.251460197,0.446716356,0.708502718,0.510019816
0.546076502,0.438501144,0.454490144,0.420003076,0.562361013,0.239848284,0.449517496,0.709826961,0.519188255
0.5526209,0.4383506,0.490334201,0.429136015,0.53766802,0.233485049,0.45303954,0.70964295,0.524773426
0.518831558,0.438184665,0.508320234,0.438042386,0.518545188,0.227070739,0.454251712,0.708944194,0.522976497
0.504382005,0.438358055,0.523553615,0.443918271,0.498693636,0.230163798,0.455365825,0.70890728,0.524374012
0.490781853,0.438418176,0.525312996,0.44941867,0.49273478,0.234270823,0.454775943,0.711040647,0.522025578
0.513186521,0.438327995,0.521901133,0.453388935,0.491099574,0.238175106,0.463278114,0.709091291,0.519330601
0.537738632,0.438290479,0.503591264,0.454216495,0.479570639,0.242890788,0.47258242,0.710672812,0.510790142
0.54435638,0.438305389,0.490830857,0.453702195,0.4808499,0.248506425,0.478316417,0.709974245,0.505711756
0.542085608,0.43836551,0.496319531,0.452499681,0.477805675,0.253323477,0.479053317,0.709569308,0.508084599
0.535096847,0.438275328,0.50226133,0.450821692,0.458504829,0.25557986,0.481920107,0.709238387,0.503699273
0.522157939,0.438282783,0.494649762,0.446461049,0.458067548,0.254350341,0.482968152,0.710452449,0.499084554
0.515394555,0.438274847,0.483623776,0.440172447,0.458099802,0.257988343,0.475711534,0.708870553,0.500259176
0.498146945,0.4383506,0.483010016,0.435462378,0.461160359,0.261613792,0.467619261,0.708980734,0.507136126
0.491345287,0.438358055,0.493994402,0.437691364,0.459200965,0.265606807,0.464474013,0.710709727,0.514516589
0.484908279,0.438674293,0.506542318,0.440261266,0.460188705,0.262450554,0.45631595,0.709606222,0.505933831
